id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,2025-239276,2025-01-03,000001,Vente,160000,142,Unnamed: 6,RUE LAREVELLIERE,4650,49100,49007,Angers,49,Unnamed: 13,Unnamed: 14,49007000CI0009,Unnamed: 16,Unnamed: 17,60,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,1,3,Dépendance,Unnamed: 31,0,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,-0.52765,47.471092,annee,mois,prix_m2,type_encode
2024-586669,2024-01-05,1.0,Vente,330000.0,6.0,,RUE SACHA GUITRY,8152,49100.0,49007.0,Angers,49.0,,,49007000AS0454,,,,,,,,,,,,,0.0,1.0,Maison,90.0,4.0,S,sols,,,257.0,-0.557186,47.489134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,3666.6666666666665,1
2024-586670,2024-01-05,1.0,Vente,280000.0,33.0,,RUE LOUIS JOUVET,0095,49770.0,49200.0,Longuenée-en-Anjou,49.0,,,49200000AC0048,,,,,,,,,,,,,0.0,1.0,Maison,99.0,5.0,S,sols,,,611.0,-0.666612,47.555998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,2828.282828282828,1
2024-586671,2024-01-03,1.0,Vente,395000.0,25.0,,ALL KATIA ET MAURICE KRAFFT,0185,49070.0,49020.0,Beaucouzé,49.0,,,49020000AB0238,,,,,,,,,,,,,0.0,1.0,Maison,126.0,5.0,S,sols,,,310.0,-0.635705,47.479539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,3134.9206349206347,1
2024-586673,2024-01-04,1.0,Vente,162000.0,8.0,,AV DE LA GARE,0410,49290.0,49063.0,Chalonnes-sur-Loire,49.0,,,49063000AM0065,,,,,,,,,,,,,0.0,1.0,Maison,90.0,3.0,S,sols,,,563.0,-0.744722,47.343928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,1800.0,1
2024-586674,2024-01-09,1.0,Vente,205000.0,12.0,,RUE DE LA REPUBLIQUE,0271,49350.0,49261.0,Gennes-Val-de-Loire,49.0,,,49261149AH0065,,,,,,,,,,,,,0.0,1.0,Maison,98.0,5.0,S,sols,,,502.0,-0.232349,47.340448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,2091.8367346938776,1
2024-586675,2024-01-10,1.0,Vente,130000.0,34.0,,CHEM DU PLESSIS,0404,49350.0,49261.0,Gennes-Val-de-Loire,49.0,,,49261279ZH0395,,,,,,,,,,,,,0.0,1.0,Maison,120.0,5.0,S,sols,,,889.0,-0.304322,47.353752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,1083.3333333333333,1
2024-586676,2024-01-05,1.0,Vente,170000.0,1.0,,RUE DES GENETS,0073,49170.0,49247.0,La Possonnière,49.0,,,492470000D1551,,,,,,,,,,,,,0.0,1.0,Maison,84.0,5.0,S,sols,,,362.0,-0.695504,47.374182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,2023.8095238095239,1
2024-586677,2024-01-04,1.0,Vente,275000.0,7.0,,RUE DE LA GUIMELLERIE (BEAUPR),0955,49600.0,49023.0,Beaupréau-en-Mauges,49.0,,,49023000AB0188,,,,,,,,,,,,,0.0,1.0,Maison,100.0,5.0,J,jardins,POTAG,Jardin potager,449.0,-0.993007,47.207524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,2750.0,1
2024-586678,2024-01-05,1.0,Vente,240000.0,1.0,,RUE ALEXIS AXILETTE,0115,49000.0,49007.0,Angers,49.0,,,49007000CX0930,,,68.0,61.21,,,,,,,,,1.0,2.0,Appartement,61.0,3.0,,,,,,-0.548578,47.452608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,3934.4262295081967,0
2024-586679,2024-01-05,1.0,Vente,280000.0,9.0,,RUE DU CANAL,1350,49100.0,49007.0,Angers,49.0,,,49007000BR0537,,,12.0,75.93,19.0,,,,,,,,2.0,2.0,Appartement,76.0,3.0,,,,,,-0.550559,47.473916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,3684.2105263157896,0
2024-586681,2024-01-09,1.0,Vente,185000.0,3.0,,RUE FELIX LORIOUX,3032,49000.0,49007.0,Angers,49.0,,,49007000EH0875,,,8.0,60.12,,,,,,,,,1.0,2.0,Appartement,60.0,3.0,,,,,,-0.563688,47.451419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,3083.3333333333335,0
2024-586684,2024-01-05,1.0,Vente,120000.0,5.0,,RUE JEAN BAPTISTE PERRINEAU,0196,49140.0,49163.0,Jarzé Villages,49.0,,,491631850A0177,,,,,,,,,,,,,0.0,1.0,Maison,90.0,3.0,S,sols,,,374.0,-0.278419,47.527307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,1333.3333333333333,1
2024-586685,2024-01-04,1.0,Vente,164000.0,1599.0,,RTE DE CHEVIRE - FOUGERE,2502,49150.0,49018.0,Baugé-en-Anjou,49.0,,,49018143ZX0131,,,,,,,,,,,,,0.0,1.0,Maison,85.0,2.0,P,prés,,,4814.0,-0.168296,47.609393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,1929.4117647058824,1
2024-586686,2024-01-05,1.0,Vente,205500.0,10.0,,RUE DE LA VIGNE,0119,49220.0,49367.0,Erdre-en-Anjou,49.0,,,493671480B0628,,,,,,,,,,,,,0.0,1.0,Maison,112.0,5.0,S,sols,,,393.0,-0.806035,47.63038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,1834.8214285714287,1
